term,example
slide into dms,She read the caption out loud and it ended with slide into dms.
slide into dms,He posted slide into dms just to shock people in the thread.
asl,He dropped asl into the group chat out of nowhere.
asl,Someone wrote asl on the shared doc as a joke.
asl,The whole comment section spiraled after asl showed up.
asl,She read the caption out loud and it ended with asl.
asl,He posted asl just to shock people in the thread.
don't tell,He dropped don't tell into the group chat out of nowhere.
don't tell,Someone wrote don't tell on the shared doc as a joke.
don't tell,The whole comment section spiraled after don't tell showed up.
don't tell,She read the caption out loud and it ended with don't tell.
don't tell,He posted don't tell just to shock people in the thread.
private snap,He dropped private snap into the group chat out of nowhere.
private snap,Someone wrote private snap on the shared doc as a joke.
private snap,The whole comment section spiraled after private snap showed up.
private snap,She read the caption out loud and it ended with private snap.
private snap,He posted private snap just to shock people in the thread.
link up,He dropped link up into the group chat out of nowhere.
link up,Someone wrote link up on the shared doc as a joke.
link up,The whole comment section spiraled after link up showed up.
link up,She read the caption out loud and it ended with link up.
link up,He posted link up just to shock people in the thread.
sneaky link,The message turned explicit the moment someone wrote sneaky link.
sneaky link,She showed me a screenshot where he said sneaky link.
sneaky link,Someone in the thread kept baiting people with sneaky link.
sneaky link,The chat got uncomfortable after they started saying sneaky link.
sneaky link,He typed sneaky link and waited for everyone to react.
plug,He dropped plug into the group chat out of nowhere.
plug,Someone wrote plug on the shared doc as a joke.
plug,The whole comment section spiraled after plug showed up.
plug,She read the caption out loud and it ended with plug.
plug,He posted plug just to shock people in the thread.
zaza,He dropped zaza into the group chat out of nowhere.
zaza,Someone wrote zaza on the shared doc as a joke.
zaza,The whole comment section spiraled after zaza showed up.
zaza,She read the caption out loud and it ended with zaza.
zaza,He posted zaza just to shock people in the thread.
cart,He dropped cart into the group chat out of nowhere.
cart,Someone wrote cart on the shared doc as a joke.
cart,The whole comment section spiraled after cart showed up.
cart,She read the caption out loud and it ended with cart.
cart,He posted cart just to shock people in the thread.
vape,He dropped vape into the group chat out of nowhere.
vape,Someone wrote vape on the shared doc as a joke.
vape,The whole comment section spiraled after vape showed up.
vape,She read the caption out loud and it ended with vape.
vape,He posted vape just to shock people in the thread.
faded,He dropped faded into the group chat out of nowhere.
faded,Someone wrote faded on the shared doc as a joke.
faded,The whole comment section spiraled after faded showed up.
faded,She read the caption out loud and it ended with faded.
faded,He posted faded just to shock people in the thread.
kms,He dropped kms into the group chat out of nowhere.
kms,Someone wrote kms on the shared doc as a joke.
kms,The whole comment section spiraled after kms showed up.
kms,She read the caption out loud and it ended with kms.
kms,He posted kms just to shock people in the thread.
kys,He dropped kys into the group chat out of nowhere.
kys,Someone wrote kys on the shared doc as a joke.
kys,The whole comment section spiraled after kys showed up.
kys,She read the caption out loud and it ended with kys.
kys,He posted kys just to shock people in the thread.
i'm done,He dropped i'm done into the group chat out of nowhere.
i'm done,Someone wrote i'm done on the shared doc as a joke.
i'm done,The whole comment section spiraled after i'm done showed up.
i'm done,She read the caption out loud and it ended with i'm done.
i'm done,He posted i'm done just to shock people in the thread.
can't anymore,He dropped can't anymore into the group chat out of nowhere.
can't anymore,Someone wrote can't anymore on the shared doc as a joke.
can't anymore,The whole comment section spiraled after can't anymore showed up.
can't anymore,She read the caption out loud and it ended with can't anymore.
can't anymore,He posted can't anymore just to shock people in the thread.
ugly,He muttered ugly when he thought I could not hear him.
ugly,She texted wow ugly and then unsent it.
ugly,Someone behind me said ugly after I answered.
ugly,The note on my desk just said ugly.
ugly,He laughed and called his teammate ugly after the miss.
chopped,He muttered chopped when he thought I could not hear him.
chopped,She texted wow chopped and then unsent it.
chopped,Someone behind me said chopped after I answered.
chopped,The note on my desk just said chopped.
chopped,He laughed and called his teammate chopped after the miss.
choppleganger,He muttered choppleganger when he thought I could not hear him.
choppleganger,She texted wow choppleganger and then unsent it.
choppleganger,Someone behind me said choppleganger after I answered.
choppleganger,The note on my desk just said choppleganger.
choppleganger,He laughed and called his teammate choppleganger after the miss.
gyatt,The message turned explicit the moment someone wrote gyatt.
gyatt,She showed me a screenshot where he said gyatt.
gyatt,Someone in the thread kept baiting people with gyatt.
gyatt,The chat got uncomfortable after they started saying gyatt.
gyatt,He typed gyatt and waited for everyone to react.
gyat,The message turned explicit the moment someone wrote gyat.
